horizon,model_version,dataset_version,training_date,train_MAE,train_RMSE,train_MAPE,train_WAPE,train_R2,train_rows,val_MAE,val_RMSE,val_MAPE,val_WAPE,val_R2,val_rows,test_MAE,test_RMSE,test_MAPE,test_WAPE,test_R2,test_rows,test_naive_MAE,test_naive_RMSE,test_naive_MAPE,test_naive_WAPE,test_naive_R2
7d,xgb_panamax_freight_v7,ai_freight_synthetic_ml_development,2025-12-01,25.6735,25.6739,127.7388,98.0899,-2.7448,52110,25.508,25.5109,134.9076,103.2712,-3.1311,8190,25.3042,25.309,150.7418,115.3178,-4.0538,1650,0.1909,0.2616,0.8746,0.8701,0.9995
30d,xgb_panamax_freight_v7,ai_freight_synthetic_ml_development,2025-12-01,25.6531,25.6548,127.7108,98.0882,-2.7426,52110,24.7793,24.8104,133.7812,101.7668,-3.0022,8190,24.3545,24.3711,144.4621,109.9872,-3.5792,960,0.6795,0.9432,3.0606,3.0687,0.9931
60d,xgb_panamax_freight_v7,ai_freight_synthetic_ml_development,2025-12-01,25.6356,25.6372,127.7095,98.0868,-2.7441,52110,24.4846,24.5125,134.7329,102.2694,-3.0178,8190,24.0776,24.0936,140.6362,106.9329,-3.3177,60,1.1815,1.6056,5.1853,5.2473,0.9808
90d,xgb_panamax_freight_v7,ai_freight_synthetic_ml_development,2025-12-01,25.645,25.6466,127.6985,98.0878,-2.7492,52110,24.3455,24.376,135.9193,102.9837,-3.072,7350,,,,,,0,,,,,
